Date,Temperature_High,Temperature_Avg,Temperature_Low,Dew Point_High,Dew Point_Avg,Dew Point_Low,Humidity_High,Humidity_Avg,Humidity_Low,Speed_High,Speed_Avg,Speed_Low,Pressure_High,Pressure_Low,Precip_Accum_Sum_in
2022-06-07,68.8 °F,53.8 °F,44.9 °F,54.9 °F,48.6 °F,40.8 °F,95 °%,84 °%,38 °%,7.0 °mph,1.7 °mph,0.0 °mph,30.12 °in,29.98 °in,0.00 
2022-06-08,68.0 °F,56.9 °F,43.3 °F,57.4 °F,51.0 °F,41.7 °F,96 °%,82 °%,62 °%,8.0 °mph,1.9 °mph,0.0 °mph,30.11 °in,30.02 °in,0.02 
2022-06-09,68.3 °F,60.2 °F,55.2 °F,63.6 °F,57.8 °F,52.8 °F,97 °%,92 °%,84 °%,13.0 °mph,6.9 °mph,3.0 °mph,30.02 °in,29.67 °in,1.05 
2022-06-10,79.4 °F,67.3 °F,59.4 °F,63.1 °F,59.9 °F,52.6 °F,97 °%,79 °%,51 °%,14.0 °mph,8.7 °mph,1.0 °mph,29.71 °in,29.58 °in,0.10 
2022-06-11,80.0 °F,68.3 °F,55.8 °F,61.9 °F,56.2 °F,51.0 °F,85 °%,67 °%,46 °%,13.0 °mph,6.2 °mph,2.0 °mph,29.87 °in,29.71 °in,0.00 
2022-06-12,71.7 °F,64.1 °F,55.7 °F,62.3 °F,57.0 °F,51.6 °F,87 °%,78 °%,68 °%,6.0 °mph,1.6 °mph,0.0 °mph,30.05 °in,29.86 °in,0.00 
2022-06-13,68.1 °F,61.9 °F,57.8 °F,62.9 °F,58.2 °F,55.4 °F,95 °%,88 °%,76 °%,4.0 °mph,0.5 °mph,0.0 °mph,30.07 °in,29.91 °in,0.02 
2022-06-14,58.5 °F,54.5 °F,51.5 °F,57.1 °F,53.6 °F,50.7 °F,97 °%,97 °%,95 °%,17.0 °mph,7.8 °mph,0.0 °mph,29.91 °in,29.69 °in,2.44 
2022-06-15,67.3 °F,57.5 °F,51.4 °F,56.1 °F,51.2 °F,46.8 °F,97 °%,81 °%,55 °%,17.0 °mph,6.6 °mph,0.0 °mph,30.12 °in,29.75 °in,0.03 
2022-06-16,80.0 °F,63.1 °F,46.9 °F,62.5 °F,54.3 °F,44.6 °F,95 °%,75 °%,46 °%,7.0 °mph,1.3 °mph,0.0 °mph,30.14 °in,29.97 °in,0.00 
2022-06-17,67.6 °F,60.2 °F,53.7 °F,60.0 °F,55.7 °F,48.2 °F,92 °%,85 °%,76 °%,15.0 °mph,9.0 °mph,1.0 °mph,29.89 °in,29.51 °in,0.03 
2022-06-18,77.1 °F,65.9 °F,58.3 °F,68.1 °F,60.7 °F,55.4 °F,97 °%,84 °%,67 °%,15.0 °mph,8.0 °mph,2.0 °mph,29.62 °in,29.39 °in,0.20 
2022-06-19,71.6 °F,61.9 °F,55.0 °F,63.6 °F,57.0 °F,50.9 °F,97 °%,85 °%,61 °%,10.0 °mph,5.3 °mph,0.0 °mph,29.82 °in,29.56 °in,0.37 
2022-06-20,66.9 °F,58.3 °F,50.9 °F,58.8 °F,53.9 °F,49.1 °F,95 °%,86 °%,71 °%,8.0 °mph,2.8 °mph,0.0 °mph,30.02 °in,29.82 °in,0.00 
2022-06-21,60.8 °F,56.0 °F,52.6 °F,58.5 °F,53.5 °F,50.6 °F,95 °%,91 °%,88 °%,9.0 °mph,2.0 °mph,0.0 °mph,30.24 °in,30.02 °in,0.09 
2022-06-22,71.4 °F,60.8 °F,52.4 °F,59.8 °F,54.3 °F,50.6 °F,95 °%,80 °%,56 °%,12.0 °mph,4.3 °mph,0.0 °mph,30.27 °in,30.20 °in,0.00 
2022-06-23,71.7 °F,61.9 °F,52.0 °F,63.1 °F,56.3 °F,49.8 °F,95 °%,83 °%,55 °%,7.0 °mph,1.5 °mph,0.0 °mph,30.23 °in,30.10 °in,0.00 
2022-06-24,72.2 °F,66.6 °F,62.8 °F,68.1 °F,64.9 °F,61.0 °F,97 °%,94 °%,86 °%,17.0 °mph,8.3 °mph,0.0 °mph,30.13 °in,29.99 °in,0.69 
2022-06-25,73.3 °F,66.3 °F,62.1 °F,67.9 °F,64.0 °F,60.7 °F,98 °%,92 °%,82 °%,8.0 °mph,1.8 °mph,0.0 °mph,30.10 °in,29.98 °in,0.03 
2022-06-26,71.4 °F,64.8 °F,59.9 °F,66.5 °F,62.2 °F,57.6 °F,97 °%,91 °%,83 °%,10.0 °mph,1.9 °mph,0.0 °mph,30.17 °in,30.09 °in,0.00 
2022-06-27,77.8 °F,67.4 °F,58.7 °F,67.8 °F,62.7 °F,56.8 °F,95 °%,85 °%,68 °%,15.0 °mph,9.1 °mph,1.0 °mph,30.09 °in,29.95 °in,0.00 
2022-06-28,77.0 °F,68.3 °F,62.4 °F,69.6 °F,65.2 °F,60.7 °F,96 °%,90 °%,78 °%,13.0 °mph,6.2 °mph,0.0 °mph,30.10 °in,29.94 °in,0.20 
2022-06-29,74.6 °F,66.6 °F,59.3 °F,66.9 °F,59.7 °F,50.5 °F,97 °%,80 °%,51 °%,5.0 °mph,0.9 °mph,0.0 °mph,30.20 °in,30.10 °in,0.01 
2022-07-01,70.8 °F,65.1 °F,56.7 °F,65.3 °F,60.0 °F,53.4 °F,93 °%,84 °%,78 °%,9.0 °mph,2.5 °mph,0.0 °mph,30.04 °in,29.91 °in,0.00 
2022-07-02,77.1 °F,67.6 °F,60.5 °F,70.8 °F,63.8 °F,57.1 °F,95 °%,88 °%,78 °%,13.0 °mph,7.6 °mph,1.0 °mph,29.91 °in,29.75 °in,0.01 
2022-07-03,84.2 °F,71.2 °F,61.7 °F,67.1 °F,62.3 °F,54.1 °F,94 °%,75 °%,48 °%,9.0 °mph,2.9 °mph,0.0 °mph,29.88 °in,29.80 °in,0.01 
2022-07-04,73.0 °F,66.1 °F,58.4 °F,60.5 °F,55.1 °F,48.5 °F,88 °%,69 °%,44 °%,15.0 °mph,7.0 °mph,0.0 °mph,29.92 °in,29.82 °in,0.00 
2022-07-05,78.8 °F,68.5 °F,55.8 °F,60.4 °F,53.9 °F,48.8 °F,83 °%,61 °%,38 °%,11.0 °mph,6.0 °mph,0.0 °mph,29.95 °in,29.91 °in,0.00 
2022-07-06,64.9 °F,61.2 °F,58.9 °F,62.1 °F,58.1 °F,53.5 °F,96 °%,90 °%,67 °%,17.0 °mph,7.1 °mph,0.0 °mph,29.92 °in,29.57 °in,0.87 
2022-07-07,72.2 °F,63.2 °F,55.5 °F,60.5 °F,55.7 °F,51.6 °F,95 °%,78 °%,58 °%,15.0 °mph,8.1 °mph,0.0 °mph,30.02 °in,29.61 °in,0.00 
2022-07-08,77.6 °F,65.4 °F,55.1 °F,63.2 °F,55.0 °F,50.0 °F,88 °%,70 °%,54 °%,10.0 °mph,5.4 °mph,0.0 °mph,30.02 °in,29.90 °in,0.00 
2022-07-09,73.9 °F,63.6 °F,55.8 °F,61.6 °F,53.9 °F,47.7 °F,87 °%,72 °%,43 °%,10.0 °mph,4.9 °mph,0.0 °mph,29.96 °in,29.86 °in,0.00 
2022-07-10,74.1 °F,64.9 °F,53.9 °F,59.0 °F,52.9 °F,47.8 °F,91 °%,67 °%,42 °%,13.0 °mph,5.4 °mph,0.0 °mph,29.95 °in,29.91 °in,0.00 
2022-07-11,82.7 °F,66.1 °F,53.0 °F,61.0 °F,53.2 °F,47.0 °F,83 °%,65 °%,43 °%,12.0 °mph,6.8 °mph,0.0 °mph,29.93 °in,29.83 °in,0.00 
2022-07-12,76.0 °F,65.5 °F,54.8 °F,61.7 °F,56.0 °F,51.4 °F,93 °%,73 °%,51 °%,14.0 °mph,8.6 °mph,4.0 °mph,29.89 °in,29.80 °in,0.00 
2022-07-13,87.4 °F,70.6 °F,60.8 °F,73.7 °F,65.6 °F,56.7 °F,94 °%,85 °%,58 °%,13.0 °mph,6.0 °mph,0.0 °mph,29.86 °in,29.73 °in,0.04 
2022-07-14,74.2 °F,67.5 °F,60.5 °F,63.8 °F,60.8 °F,54.5 °F,94 °%,80 °%,64 °%,7.0 °mph,2.9 °mph,0.0 °mph,30.03 °in,29.86 °in,0.00 
2022-07-15,73.1 °F,64.0 °F,58.6 °F,65.8 °F,59.5 °F,54.4 °F,94 °%,85 °%,75 °%,7.0 °mph,2.3 °mph,0.0 °mph,30.01 °in,29.92 °in,0.02 
2022-07-16,84.6 °F,71.3 °F,58.8 °F,67.2 °F,59.5 °F,53.5 °F,95 °%,68 °%,46 °%,10.0 °mph,4.4 °mph,0.0 °mph,30.04 °in,29.96 °in,0.01 
2022-07-17,84.5 °F,75.9 °F,66.0 °F,63.3 °F,58.9 °F,55.1 °F,79 °%,57 °%,42 °%,11.0 °mph,7.0 °mph,1.0 °mph,29.99 °in,29.91 °in,0.00 
2022-07-18,89.3 °F,77.3 °F,64.6 °F,71.4 °F,65.6 °F,60.0 °F,88 °%,69 °%,46 °%,13.0 °mph,6.2 °mph,0.0 °mph,29.95 °in,29.83 °in,0.00 
2022-07-19,75.3 °F,69.3 °F,65.5 °F,71.9 °F,66.9 °F,61.8 °F,97 °%,92 °%,84 °%,15.0 °mph,7.7 °mph,0.0 °mph,29.83 °in,29.30 °in,0.46 
2022-07-20,78.0 °F,70.7 °F,64.1 °F,66.1 °F,62.6 °F,56.7 °F,94 °%,76 °%,60 °%,16.0 °mph,10.0 °mph,0.0 °mph,29.67 °in,29.37 °in,0.00 
2022-07-21,82.5 °F,72.9 °F,61.7 °F,70.6 °F,63.4 °F,56.0 °F,90 °%,73 °%,54 °%,11.0 °mph,3.5 °mph,0.0 °mph,29.81 °in,29.67 °in,0.00 
2022-07-22,85.9 °F,75.3 °F,67.0 °F,77.8 °F,71.2 °F,64.5 °F,96 °%,88 °%,75 °%,12.0 °mph,7.4 °mph,0.0 °mph,29.81 °in,29.73 °in,0.00 
2022-07-23,92.5 °F,79.5 °F,68.9 °F,74.5 °F,68.1 °F,63.4 °F,89 °%,70 °%,41 °%,9.0 °mph,3.0 °mph,0.0 °mph,29.93 °in,29.81 °in,0.00 
2022-07-24,93.8 °F,80.2 °F,65.7 °F,75.4 °F,68.5 °F,63.3 °F,92 °%,70 °%,45 °%,10.0 °mph,4.1 °mph,0.0 °mph,29.96 °in,29.90 °in,0.00 
2022-07-25,91.9 °F,75.7 °F,63.3 °F,76.3 °F,69.1 °F,60.9 °F,95 °%,82 °%,54 °%,14.0 °mph,9.4 °mph,4.0 °mph,29.90 °in,29.77 °in,0.15 
